23:35:31,224  INFO DefaultTestContextBootstrapper:259 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
23:35:31,252  INFO DefaultTestContextBootstrapper:185 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7a1b16bd, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@87210ec, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@78b4fa48, org.springframework.test.context.support.DirtiesContextTestExecutionListener@319bcae1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6b249338, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2e3d787c]
23:35:31,736  INFO XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
23:35:32,175  INFO GenericApplicationContext:578 - Refreshing org.springframework.context.support.GenericApplicationContext@76ff3813: startup date [Mon Oct 30 23:35:32 CST 2017]; root of context hierarchy
23:35:32,260  INFO AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
23:35:32,350  INFO MLog:80 - MLog clients using log4j logging.
23:35:32,532  INFO C3P0Registry:204 - Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
23:35:32,686  INFO LocalContainerEntityManagerFactoryBean:339 - Building JPA container EntityManagerFactory for persistence unit 'default'
23:35:32,686  WARN HibernatePersistence:41 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
23:35:32,695  INFO LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
23:35:32,810  INFO Version:37 - HHH000412: Hibernate Core {5.0.7.Final}
23:35:32,813  INFO Environment:213 - HHH000206: hibernate.properties not found
23:35:32,816  INFO Environment:317 - HHH000021: Bytecode provider name : javassist
23:35:32,887  INFO Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
23:35:33,094  INFO AbstractPoolBackedDataSource:462 - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 31sqaa9ruhzuot4favxx|28ae083a, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> oracle.jdbc.driver.OracleDriver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 31sqaa9ruhzuot4favxx|28ae083a, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:oracle:thin:@localhost:1521:ORCL, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
23:35:33,310  INFO Dialect:156 - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
23:35:33,425  INFO LobCreatorBuilderImpl:124 - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
23:35:34,034  INFO SchemaUpdate:105 - HHH000228: Running hbm2ddl schema update
23:35:34,823  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_ARCHIVE
23:35:34,958  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_AREA
23:35:34,985  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_COURIER
23:35:35,005  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_FIXED_AREA
23:35:35,026  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_FIXEDAREA_COURIER
23:35:35,045  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_STANDARD
23:35:35,066  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_SUB_ARCHIVE
23:35:35,088  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_SUB_AREA
23:35:35,115  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_TAKE_TIME
23:35:35,152  INFO InformationExtractorJdbcDatabaseMetaDataImpl:365 - HHH000262: Table not found: T_VEHICLE
23:36:02,952  INFO GenericApplicationContext:960 - Closing org.springframework.context.support.GenericApplicationContext@76ff3813: startup date [Mon Oct 30 23:35:32 CST 2017]; root of context hierarchy
23:36:02,954  INFO LocalContainerEntityManagerFactoryBean:462 - Closing JPA EntityManagerFactory for persistence unit 'default'
